unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781447555,14.22,0.00
1781447560,14.67,0.00
1781447565,15.06,13.61
1781447570,15.63,13.61
1781447575,15.67,13.94
1781447580,16.00,13.94
1781447585,15.98,13.94
1781447590,15.37,13.94
1781447595,15.98,14.13
1781447600,16.00,14.20
1781447605,15.98,14.20
1781447610,15.98,14.20
1781447615,15.98,14.20
1781447620,15.98,14.20
1781447625,15.98,14.20
1781447630,15.98,14.20
1781447635,15.98,14.20
1781447640,15.98,14.20
1781447646,15.98,14.20
1781447651,15.98,14.20
1781447656,15.98,14.20
1781447661,15.98,14.20
1781447666,15.98,14.20
1781447671,15.98,14.20
1781447676,15.98,14.20
1781447681,16.00,13.98
1781447686,15.94,14.13
1781447691,15.94,14.26
1781447696,16.00,14.17
1781447701,15.97,13.99
1781447706,15.94,14.26
1781447711,15.94,14.32
1781447716,15.97,14.02
1781447721,15.94,14.32
1781447726,15.97,14.14
1781447731,15.94,14.32
1781447736,15.97,14.02
1781447741,15.94,14.32
1781447746,15.94,14.14
1781447751,15.94,14.02
1781447756,15.94,14.14
1781447761,15.94,14.32
1781447766,15.94,14.32
1781447771,15.94,14.14
1781447776,15.94,14.14
1781447781,15.94,14.14
1781447786,15.94,14.14
1781447791,15.94,14.14
1781447796,15.94,14.14
1781447801,15.94,14.14
1781447806,15.94,14.14
1781447811,15.94,14.14
1781447816,15.94,14.14
1781447821,15.94,14.14
1781447826,15.94,14.14
1781447832,15.94,14.14
1781447837,15.94,14.14
1781447842,15.94,14.14
1781447847,15.94,14.14
1781447852,15.97,14.02
1781447857,16.00,14.25
1781447862,15.94,14.32
1781447867,15.96,14.02
1781447872,15.94,14.19
1781447877,15.94,14.25
1781447882,15.97,14.02
1781447887,15.94,14.25
1781447892,15.94,14.32
1781447897,15.94,14.25
1781447902,15.94,14.02
1781447907,15.94,14.19
1781447912,15.98,14.13
1781447917,15.94,14.02
1781447922,15.94,14.32
1781447927,15.94,14.32
1781447932,15.94,14.14
1781447937,15.94,14.14
1781447942,15.94,14.14
1781447947,15.94,14.14
1781447952,15.94,14.14
1781447957,15.94,14.14
1781447962,15.94,14.14
1781447967,15.94,14.14
1781447972,15.94,14.14
1781447977,15.94,14.14
1781447982,15.94,14.14
1781447987,15.94,14.14
1781447992,15.94,14.14
1781447997,15.94,14.14
1781448002,15.94,14.14
1781448007,15.94,14.14
1781448012,15.95,14.02
1781448017,15.94,14.32
1781448023,15.94,14.32
1781448028,15.94,14.02
1781448033,15.94,14.32
1781448038,15.94,14.32
1781448043,15.94,14.32
1781448048,15.97,14.02
1781448053,15.94,14.19
1781448058,15.94,14.25
1781448063,15.94,14.02
1781448068,15.94,14.32
1781448073,15.96,14.25
1781448078,15.94,14.14
1781448083,15.94,14.02
1781448088,15.95,14.14
1781448093,15.92,14.25
1781448098,15.92,14.14
1781448103,15.92,14.14
1781448108,15.92,14.14
1781448113,15.92,14.14
1781448118,15.92,14.14
1781448123,15.92,14.14
1781448128,15.92,14.14
1781448133,15.92,14.14
1781448138,15.92,14.14
1781448143,15.92,14.14
1781448148,15.92,14.14
1781448153,15.92,14.14
1781448158,15.92,14.14
1781448163,15.92,14.14
1781448168,15.92,14.14
1781448173,15.92,14.14
1781448178,15.95,14.02
1781448183,15.92,14.32
1781448188,15.92,14.25
1781448193,15.93,14.02
1781448198,15.92,14.25
1781448203,15.92,14.32
1781448208,15.99,14.14
1781448214,15.92,14.02
1781448219,15.92,14.32
1781448224,15.92,14.32
1781448229,15.95,14.02
1781448234,15.92,14.32
1781448239,15.95,14.14
1781448244,15.92,14.02
1781448249,15.92,14.32
1781448254,15.92,14.13
1781448259,15.92,14.14
1781448264,15.92,14.14
1781448269,15.92,14.14
1781448274,15.92,14.14
1781448279,15.92,14.14
1781448284,15.92,14.14
1781448289,15.92,14.14
1781448294,15.92,14.14
1781448299,15.92,14.14
1781448304,15.92,14.14
1781448309,15.92,14.14
1781448314,15.92,14.14
1781448319,15.92,14.14
1781448324,15.92,14.14
1781448329,15.92,14.14
1781448334,15.92,14.14
1781448339,15.92,14.14
1781448344,15.42,14.14
