unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785330287,14.00,0.00
1785330292,14.55,0.00
1785330297,16.00,13.56
1785330302,16.00,13.56
1785330307,16.00,13.89
1785330312,15.96,13.89
1785330317,15.99,13.89
1785330322,15.37,13.89
1785330327,15.97,14.08
1785330332,15.99,14.15
1785330337,16.00,14.15
1785330342,15.97,14.15
1785330347,15.97,14.15
1785330353,15.98,14.15
1785330358,15.97,14.15
1785330363,15.97,14.15
1785330368,15.98,14.15
1785330373,15.97,14.15
1785330378,15.97,14.15
1785330383,15.99,13.94
1785330388,15.93,14.27
1785330393,15.93,13.97
1785330398,15.93,14.27
1785330403,15.99,14.09
1785330408,15.94,13.97
1785330413,15.92,14.27
1785330418,15.94,14.09
1785330424,15.92,14.24
1785330429,15.93,14.14
1785330434,15.93,14.03
1785330439,15.93,14.09
1785330444,15.92,14.09
1785330449,15.92,14.09
1785330454,15.93,14.09
1785330459,15.92,14.09
1785330464,15.92,14.09
1785330470,15.92,14.09
1785330475,15.92,14.09
1785330480,15.92,14.09
1785330485,15.92,14.09
1785330490,15.93,13.97
1785330495,15.93,14.27
1785330500,15.94,13.97
1785330505,15.93,14.27
1785330510,15.93,14.27
1785330515,15.93,14.22
1785330520,15.99,14.09
1785330526,15.93,14.27
1785330531,15.93,14.27
1785330536,15.94,13.97
1785330541,15.93,14.09
1785330546,15.92,14.09
1785330551,15.92,14.09
1785330556,15.92,14.09
1785330561,15.92,14.09
1785330566,15.92,14.09
1785330571,15.92,14.09
1785330576,15.92,14.09
1785330582,15.92,14.09
1785330587,15.92,14.09
1785330592,15.92,14.09
1785330597,15.92,14.09
1785330602,15.93,14.09
1785330607,15.93,14.27
1785330612,15.93,14.14
1785330617,15.93,14.09
1785330622,15.92,13.97
1785330627,15.98,14.09
1785330632,15.92,13.97
1785330637,15.94,14.03
1785330643,15.96,13.97
1785330648,15.93,14.20
1785330653,15.93,14.27
1785330658,15.93,14.09
1785330663,15.93,14.09
1785330668,15.93,14.09
1785330673,15.93,14.09
1785330678,15.93,14.09
1785330683,15.93,14.09
1785330688,15.93,14.09
1785330693,15.93,14.09
1785330698,15.93,14.09
1785330704,15.93,14.09
1785330709,15.99,14.09
1785330714,15.99,14.09
1785330719,15.94,14.08
1785330724,15.94,14.03
1785330729,15.92,13.97
1785330734,15.92,14.27
1785330739,15.95,13.97
1785330744,15.92,14.15
1785330749,15.92,14.27
1785330754,15.94,14.27
1785330759,15.94,14.15
1785330765,15.92,14.09
1785330770,15.92,14.09
1785330775,15.92,14.09
1785330780,15.92,14.09
1785330785,15.92,14.09
1785330790,15.92,14.09
1785330795,15.92,14.09
1785330800,15.92,14.09
1785330805,15.92,14.09
1785330810,15.92,14.09
1785330815,15.42,14.09
