unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785336613,14.01,0.00
1785336618,14.54,0.00
1785336623,16.00,13.56
1785336628,16.00,13.56
1785336633,16.00,13.56
1785336638,16.00,13.56
1785336643,15.99,13.89
1785336648,16.00,13.89
1785336653,16.00,13.89
1785336658,15.43,13.89
1785336663,16.00,14.08
1785336668,16.00,14.15
1785336673,15.98,14.15
1785336678,15.99,14.15
1785336683,15.97,14.15
1785336689,15.97,14.15
1785336694,15.97,14.15
1785336699,15.97,14.15
1785336704,15.98,14.15
1785336709,15.97,14.15
1785336714,15.97,14.15
1785336719,15.97,14.15
1785336724,15.98,13.93
1785336729,15.93,14.27
1785336734,15.97,13.93
1785336739,15.94,14.12
1785336744,15.93,14.09
1785336750,15.99,13.97
1785336755,15.93,14.14
1785336760,15.94,14.27
1785336765,15.94,14.14
1785336770,15.93,14.09
1785336775,15.97,13.97
1785336780,15.93,14.14
1785336785,15.93,14.27
1785336790,15.93,14.09
1785336795,15.93,14.09
1785336800,15.93,14.09
1785336806,15.93,14.09
1785336811,15.93,14.09
1785336816,15.93,14.09
1785336821,15.93,14.09
1785336826,15.93,14.09
1785336831,15.93,14.09
1785336836,15.93,14.09
1785336841,15.93,14.09
1785336846,15.93,13.97
1785336852,15.92,13.97
1785336857,15.92,14.09
1785336862,15.92,13.97
1785336867,15.92,13.97
1785336872,15.92,14.27
1785336877,15.95,13.97
1785336882,15.92,14.27
1785336887,15.92,13.97
1785336892,15.98,14.18
1785336897,15.92,14.09
1785336903,15.92,14.09
1785336908,15.92,14.09
1785336913,15.92,14.09
1785336918,15.92,14.09
1785336923,15.92,14.09
1785336928,15.92,14.09
1785336933,15.92,14.09
1785336938,15.92,14.09
1785336943,15.92,14.09
1785336949,15.92,14.09
1785336954,15.92,14.03
1785336959,15.92,14.27
1785336964,15.93,13.97
1785336969,15.93,14.09
1785336974,15.96,13.97
1785336979,15.92,14.27
1785336984,15.92,14.03
1785336989,15.92,14.09
1785336994,15.93,14.20
1785337000,15.93,13.97
1785337005,15.92,14.20
1785337010,15.92,14.09
1785337015,15.92,14.09
1785337020,15.92,14.09
1785337025,15.92,14.09
1785337030,15.92,14.09
1785337035,15.92,14.09
1785337040,15.92,14.09
1785337045,15.92,14.09
1785337050,15.92,14.09
1785337056,15.92,14.09
1785337061,15.93,14.09
1785337066,15.92,14.09
1785337071,15.92,14.27
1785337076,15.93,13.97
1785337081,15.94,14.09
1785337086,15.94,13.97
1785337091,15.94,14.27
1785337096,15.93,14.09
1785337101,15.92,14.09
1785337106,15.94,14.09
1785337111,15.92,13.97
1785337117,15.92,14.03
1785337122,15.99,14.09
1785337127,15.92,14.09
1785337132,15.92,14.09
1785337137,15.92,14.09
1785337142,15.92,14.09
1785337147,15.92,14.09
1785337152,15.92,14.09
1785337157,15.92,14.09
1785337162,15.92,14.09
1785337167,15.92,14.09
1785337172,15.92,14.09
