run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,1,3.6406e+00,311.75,279.50,3.0000e+00,8,8,"[""none"",""attn"",""mlp"",""attn+mlp"",""mlp"",""attn"",""attn+mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,2,2.9316e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""mlp"",""attn+mlp"",""mlp"",""attn"",""attn+mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,3,2.4844e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""attn+mlp"",""mlp"",""attn"",""attn+mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,4,2.2832e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""attn+mlp"",""none"",""attn"",""attn+mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,5,2.1777e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""mlp"",""none"",""attn"",""attn+mlp"",""none"",""none"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,6,2.1797e+00,51.38,54.19,3.0000e+00,8,8,"[""none"",""attn"",""none"",""mlp"",""none"",""attn"",""attn+mlp"",""none"",""none"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,7,1.6045e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""none"",""none"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,8,1.3545e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,9,1.2812e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""attn"",""mlp"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""attn+mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,generation,10,1.1445e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""mlp"",""attn+mlp"",""none"",""mlp"",""attn"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
