unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785337949,14.98,0.00
1785337954,15.51,0.00
1785337959,16.00,13.56
1785337964,16.00,13.56
1785337969,16.00,13.56
1785337974,16.00,13.56
1785337979,16.00,13.89
1785337985,16.00,13.89
1785337990,15.82,13.89
1785337995,15.37,13.89
1785338000,15.99,14.08
1785338005,15.96,14.15
1785338010,15.96,14.15
1785338015,15.96,14.15
1785338020,15.96,14.15
1785338025,15.96,14.15
1785338030,15.96,14.15
1785338035,15.97,14.15
1785338040,15.96,14.15
1785338045,15.96,14.15
1785338050,15.96,14.15
1785338055,15.96,14.15
1785338060,15.94,14.14
1785338065,15.93,14.03
1785338070,15.92,14.27
1785338075,15.92,14.20
1785338080,15.92,14.27
1785338085,15.92,14.20
1785338090,15.92,13.97
1785338095,15.92,14.27
1785338100,15.92,14.14
1785338105,15.92,14.09
1785338111,15.92,14.06
1785338116,15.92,14.06
1785338121,15.93,14.06
1785338126,15.92,14.06
1785338131,15.92,14.06
1785338136,15.93,14.06
1785338141,15.92,14.06
1785338146,15.92,14.06
1785338151,15.92,14.06
1785338156,15.92,14.06
1785338161,15.92,14.27
1785338166,15.92,14.27
1785338171,15.98,13.97
1785338176,15.92,14.27
1785338181,15.92,14.14
1785338186,15.92,14.09
1785338191,15.92,14.14
1785338196,15.92,14.27
1785338201,15.92,14.27
1785338206,15.93,14.27
1785338211,15.92,14.06
1785338216,15.92,14.06
1785338221,15.92,14.06
1785338226,15.92,14.06
1785338231,15.92,14.06
1785338236,15.92,14.06
1785338241,15.92,14.06
1785338246,15.92,14.06
1785338252,15.92,14.06
1785338257,15.93,14.06
1785338262,15.92,13.95
1785338267,15.92,14.27
1785338272,15.97,13.95
1785338277,15.92,14.27
1785338282,15.92,13.95
1785338287,15.92,14.27
1785338292,15.95,13.90
1785338297,15.95,14.20
1785338302,15.92,13.98
1785338307,15.95,14.20
1785338312,15.92,14.06
1785338317,15.92,14.06
1785338322,15.92,14.06
1785338327,15.92,14.06
1785338332,15.92,14.06
1785338338,15.92,14.06
1785338343,15.92,14.06
1785338348,15.92,14.06
1785338353,15.92,14.06
1785338358,15.92,14.06
1785338363,15.92,14.06
1785338368,15.93,13.97
1785338373,15.91,14.27
1785338378,15.91,14.09
1785338383,15.91,14.03
1785338388,15.91,14.27
1785338393,15.91,14.28
1785338399,15.91,14.14
1785338404,15.91,14.03
1785338409,15.91,14.27
1785338414,15.91,14.06
1785338419,15.91,14.06
1785338424,15.91,14.06
1785338429,15.91,14.06
1785338434,15.92,14.06
1785338439,15.91,14.06
1785338444,15.91,14.06
1785338449,15.92,14.06
1785338454,15.91,14.06
1785338460,15.91,14.06
1785338465,15.91,14.06
