unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785455928,2.34,0.00
1785455933,2.74,0.00
1785455938,3.18,13.52
1785455943,4.19,13.56
1785455948,5.51,13.56
1785455953,7.12,13.56
1785455958,7.95,13.56
1785455964,9.10,13.56
1785455969,10.16,13.56
1785455974,11.70,13.56
1785455980,13.39,13.56
1785455985,14.40,13.56
1785455990,15.63,13.56
1785455995,16.00,13.67
1785456000,16.00,13.89
1785456005,16.00,13.89
1785456010,15.98,13.89
1785456015,15.35,13.89
1785456020,16.00,14.08
1785456026,16.00,14.08
1785456031,16.00,13.95
1785456036,15.97,14.15
1785456041,15.97,14.15
1785456046,15.97,14.15
1785456051,15.97,14.15
1785456056,15.97,14.15
1785456061,15.97,14.15
1785456066,15.97,14.15
1785456071,15.97,14.15
1785456076,15.97,14.15
1785456082,15.97,14.15
1785456087,16.00,13.95
1785456092,16.00,13.93
1785456097,15.97,14.06
1785456102,15.99,14.27
1785456107,15.92,14.27
1785456112,15.97,13.94
1785456117,15.94,14.15
1785456122,15.94,14.15
1785456127,16.00,13.93
1785456133,15.95,14.08
1785456138,16.00,14.21
1785456143,15.94,14.06
1785456148,16.00,13.93
1785456153,15.97,14.09
1785456158,15.99,14.20
1785456163,16.00,13.97
1785456168,15.94,14.14
1785456173,15.98,14.09
1785456178,15.94,14.09
1785456183,15.93,14.09
1785456189,15.93,14.09
1785456194,15.93,14.09
1785456199,15.93,14.09
1785456204,15.93,14.09
1785456209,15.93,14.09
1785456214,15.93,14.09
1785456219,15.93,14.09
1785456224,15.93,14.09
1785456229,15.93,14.09
1785456234,15.98,13.97
1785456239,15.94,14.14
1785456244,15.94,14.09
1785456250,15.97,13.97
1785456255,16.00,14.20
1785456260,15.95,14.09
1785456265,15.94,13.97
1785456270,15.97,14.09
1785456275,15.99,14.18
1785456280,16.00,13.97
1785456285,16.00,14.14
1785456290,15.94,14.03
1785456295,15.97,13.97
1785456301,15.94,14.14
1785456306,16.00,14.20
1785456311,15.94,14.09
1785456316,15.94,14.09
1785456321,15.94,14.09
1785456326,15.94,14.09
1785456331,15.94,14.09
1785456336,15.94,14.09
1785456341,15.94,14.09
1785456346,15.94,14.09
1785456351,15.94,14.09
1785456357,15.94,14.09
1785456362,15.94,14.09
1785456367,15.94,13.97
1785456372,15.94,14.03
1785456377,15.92,14.27
1785456382,15.94,13.97
1785456387,15.96,13.97
1785456392,15.98,14.09
1785456398,15.92,13.97
1785456403,15.97,13.97
1785456408,15.92,14.27
1785456413,15.92,14.27
1785456418,15.92,13.97
1785456423,15.92,14.34
1785456428,15.93,14.27
1785456433,15.93,13.97
1785456438,15.93,14.27
1785456443,15.93,14.09
1785456448,15.92,14.09
1785456453,15.92,14.09
1785456459,15.92,14.09
1785456464,15.92,14.09
1785456469,15.92,14.09
1785456474,15.92,14.09
1785456479,15.92,14.09
1785456484,15.92,14.09
1785456489,15.92,14.09
1785456494,15.92,14.09
1785456499,15.92,14.09
1785456504,15.94,13.97
1785456510,15.92,14.11
1785456515,15.92,14.14
1785456520,15.95,13.97
1785456525,15.92,14.14
1785456530,15.99,14.08
1785456535,15.92,13.97
1785456540,15.98,14.05
1785456545,15.92,14.09
1785456550,15.92,14.27
1785456555,15.94,13.97
1785456561,15.92,14.14
1785456566,15.99,14.20
1785456571,15.92,13.97
1785456576,15.92,14.14
1785456581,15.92,14.27
1785456586,15.98,14.27
1785456591,15.92,14.09
1785456596,15.92,14.09
1785456601,15.92,14.09
1785456607,15.92,14.09
1785456612,15.92,14.09
1785456617,15.92,14.09
1785456622,15.92,14.09
1785456627,15.92,14.09
1785456632,15.92,14.09
1785456637,15.92,14.09
1785456642,15.43,14.09
