run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,1,2.3828e+00,58.56,54.59,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""none"",""attn"",""none"",""attn+mlp"",""mlp"",""none"",""attn"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,2,1.5742e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn"",""none"",""attn+mlp"",""mlp"",""none"",""attn"",""attn"",""attn+mlp"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none""]","[[2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,3,1.3809e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn"",""none"",""attn+mlp"",""mlp"",""none"",""attn"",""attn"",""attn+mlp"",""attn"",""mlp"",""mlp"",""none"",""mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""none""]","[[2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,4,1.2666e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn"",""none"",""attn+mlp"",""mlp"",""attn"",""none"",""attn"",""attn+mlp"",""attn"",""mlp"",""mlp"",""none"",""mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""none""]","[[2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,5,1.1133e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""attn"",""none"",""attn+mlp"",""mlp"",""attn"",""none"",""attn"",""attn+mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""none""]","[[2,3,3,3,3,3,3,4,3,3,3,4,4,4,3,3,2,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,6,1.0605e+00,16.42,15.61,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""attn"",""none"",""attn"",""attn+mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""mlp"",""none"",""attn"",""none"",""none"",""none""]","[[2,3,3,4,3,3,3,4,3,3,3,4,4,4,3,3,2,3,4,3,3,3,2,3,3,3,3,2,3,3,2,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,7,9.7998e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""attn"",""none"",""none"",""attn+mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""mlp"",""none"",""attn"",""none"",""none"",""none""]","[[2,3,3,4,3,3,3,4,3,3,3,4,4,4,3,3,2,3,4,2,3,3,2,3,4,3,3,2,3,3,2,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,8,8.4521e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""attn"",""mlp"",""mlp"",""none"",""attn"",""none"",""none"",""none""]","[[2,3,3,4,2,3,3,4,3,3,4,4,4,4,3,3,2,3,4,3,3,3,2,3,4,3,3,2,3,3,2,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,9,7.4707e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""attn"",""attn"",""mlp"",""attn"",""attn"",""mlp"",""mlp"",""none"",""attn"",""none"",""none"",""none""]","[[2,3,3,4,2,3,3,4,3,3,4,4,4,4,3,3,2,2,4,3,3,3,2,3,4,4,3,2,3,3,2,3]]"
thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,10,7.4268e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""attn"",""attn+mlp"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""attn"",""mlp"",""attn"",""attn"",""mlp"",""mlp"",""none"",""attn"",""none"",""none"",""none""]","[[2,3,3,4,2,3,3,4,3,3,4,4,4,4,3,2,3,2,4,3,3,3,2,3,4,4,3,2,3,3,2,3]]"
