run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,1,2.3828e+00,58.56,54.59,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""none"",""attn"",""none"",""attn+mlp"",""mlp"",""none"",""attn"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,2,1.8477e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""attn"",""mlp"",""none"",""none"",""none"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""attn+mlp"",""mlp"",""none"",""attn"",""attn+mlp"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,3,1.6250e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""mlp"",""none"",""attn"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""mlp"",""none"",""attn"",""none"",""attn+mlp"",""none"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,4,1.5352e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""mlp"",""none"",""none"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""mlp"",""none"",""attn"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,5,1.3291e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""mlp"",""none"",""mlp"",""attn"",""none"",""attn"",""mlp"",""none"",""none"",""attn+mlp"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""attn"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,6,1.2061e+00,19.55,18.33,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""mlp"",""attn+mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""attn+mlp"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""attn"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,7,1.1719e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""attn+mlp"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,8,1.1436e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""mlp"",""attn"",""none"",""attn+mlp"",""attn+mlp"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,9,1.1201e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""attn+mlp"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,10,1.0479e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,11,1.0371e+00,17.34,15.61,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,12,9.8193e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""attn+mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""none"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,generation,13,7.8516e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""mlp"",""attn+mlp"",""attn"",""none"",""attn+mlp"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn+mlp"",""none"",""mlp"",""attn"",""attn"",""mlp"",""none"",""none"",""none""]","[[2,2,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
