unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785338488,13.96,0.00
1785338493,14.50,0.00
1785338498,16.00,13.56
1785338503,16.00,13.56
1785338508,16.00,13.56
1785338513,16.00,13.89
1785338518,16.00,13.89
1785338523,16.00,13.89
1785338528,15.84,13.89
1785338533,15.98,14.08
1785338538,15.96,13.98
1785338543,15.96,14.15
1785338548,15.96,14.15
1785338553,15.97,14.15
1785338558,15.96,14.15
1785338563,15.96,14.15
1785338569,15.97,14.15
1785338574,15.96,14.15
1785338579,15.96,14.15
1785338584,15.97,14.15
1785338589,15.96,14.15
1785338594,16.00,13.95
1785338599,15.96,14.20
1785338604,16.00,13.91
1785338609,15.94,14.27
1785338614,15.93,14.27
1785338619,15.94,14.27
1785338624,15.93,14.09
1785338629,15.97,13.98
1785338634,15.93,14.09
1785338639,15.98,14.20
1785338644,15.93,14.03
1785338649,15.93,14.20
1785338654,15.93,14.06
1785338659,15.93,14.06
1785338664,15.93,14.06
1785338669,15.94,14.06
1785338674,15.93,14.06
1785338679,15.93,14.06
1785338684,15.93,14.06
1785338689,15.93,14.06
1785338694,15.93,14.06
1785338700,15.93,14.06
1785338705,15.97,13.94
1785338710,15.93,14.27
1785338715,15.97,13.94
1785338720,15.93,14.15
1785338725,15.96,13.94
1785338730,15.93,14.27
1785338735,15.93,14.27
1785338740,15.94,14.14
1785338745,15.93,14.27
1785338750,16.00,14.09
1785338755,15.93,14.24
1785338760,15.92,14.06
1785338765,15.92,14.06
1785338770,15.92,14.06
1785338775,15.92,14.06
1785338780,15.92,14.06
1785338785,15.93,14.06
1785338790,15.92,14.06
1785338795,15.94,14.06
1785338800,15.92,14.06
1785338805,15.93,14.06
1785338810,15.93,13.98
1785338816,15.93,14.08
1785338821,15.93,14.25
1785338826,15.96,14.09
1785338831,15.93,14.20
1785338836,16.00,14.05
1785338841,15.95,14.08
1785338846,15.94,13.97
1785338851,15.93,14.09
1785338856,15.92,13.97
1785338861,15.93,14.14
1785338866,15.93,14.27
1785338871,15.93,14.09
1785338877,15.93,14.09
1785338882,15.93,14.09
1785338887,15.93,14.09
1785338892,15.93,14.09
1785338897,15.93,14.09
1785338902,15.93,14.09
1785338907,15.93,14.09
1785338912,15.93,14.09
1785338917,15.93,14.09
1785338922,15.93,14.27
1785338927,15.93,14.27
1785338933,15.96,14.20
1785338938,15.93,14.27
1785338943,15.93,13.97
1785338948,15.93,14.27
1785338953,15.94,13.97
1785338958,15.94,14.27
1785338963,15.94,13.97
1785338968,15.93,14.27
1785338973,15.93,14.09
1785338978,15.93,14.09
1785338983,15.93,14.09
1785338989,15.93,14.09
1785338994,15.93,14.09
1785338999,15.93,14.09
1785339004,15.93,14.09
1785339009,15.93,14.09
1785339014,15.93,14.09
1785339019,15.93,14.09
1785339024,15.93,14.09
