method,method_label,baseline,baseline_label,baseline_comparison_role,seed,method_wikitext2_ppl,baseline_wikitext2_ppl,delta_ppl_method_minus_baseline,relative_delta_percent,winner
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,0,11.921875,11.99,-0.06812500000000021,-0.5681818181818199,method
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,1,12.5234375,12.52,0.0034375000000004263,0.027456070287543342,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,2,11.3515625,11.35,0.0015625000000003553,0.013766519823791677,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,0,11.921875,11.97,-0.04812500000000064,-0.4020467836257363,method
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,1,12.5234375,12.52,0.0034375000000004263,0.027456070287543342,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,2,11.3515625,11.35,0.0015625000000003553,0.013766519823791677,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,0,11.921875,13.3828125,-1.4609375,-10.916520723876241,method
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,1,12.5234375,12.28125,0.2421875,1.9720101781170483,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,2,11.3515625,12.15625,-0.8046875,-6.619537275064268,method
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",joint_g50,Standard joint G50,larger single-search compute reference,0,11.921875,11.46875,0.453125,3.9509536784741144,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",joint_g50,Standard joint G50,larger single-search compute reference,1,12.5234375,10.921875,1.6015625,14.663805436337626,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",joint_g50,Standard joint G50,larger single-search compute reference,2,11.3515625,11.3359375,0.015625,0.13783597518952448,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,0,11.921875,10.8984375,1.0234375,9.390681003584229,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,1,12.5234375,11.1171875,1.40625,12.649332396345748,baseline
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,2,11.3515625,11.2421875,0.109375,0.9728978457261988,baseline
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,0,11.5078125,11.99,-0.4821875000000002,-4.021580483736448,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,1,11.7578125,12.52,-0.7621874999999996,-6.087759584664534,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,2,11.3125,11.35,-0.037499999999999645,-0.330396475770922,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,0,11.5078125,11.97,-0.46218750000000064,-3.861215538847123,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,1,11.7578125,12.52,-0.7621874999999996,-6.087759584664534,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,2,11.3125,11.35,-0.037499999999999645,-0.330396475770922,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,0,11.5078125,13.3828125,-1.875,-14.010507880910684,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,1,11.7578125,12.28125,-0.5234375,-4.262086513994911,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,2,11.3125,12.15625,-0.84375,-6.940874035989717,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),joint_g50,Standard joint G50,larger single-search compute reference,0,11.5078125,11.46875,0.0390625,0.3405994550408719,baseline
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),joint_g50,Standard joint G50,larger single-search compute reference,1,11.7578125,10.921875,0.8359375,7.65379113018598,baseline
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),joint_g50,Standard joint G50,larger single-search compute reference,2,11.3125,11.3359375,-0.0234375,-0.2067539627842867,method
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,0,11.5078125,10.8984375,0.609375,5.591397849462366,baseline
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,1,11.7578125,11.1171875,0.640625,5.762473647224175,baseline
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,2,11.3125,11.2421875,0.0703125,0.6254343293954134,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,0,11.03125,11.99,-0.9587500000000002,-7.996246872393663,method
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,1,16.453125,12.52,3.9331250000000004,31.414736421725244,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,2,14.5234375,11.35,3.1734375000000004,27.959801762114544,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,0,11.03125,11.97,-0.9387500000000006,-7.842522974101926,method
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,1,16.453125,12.52,3.9331250000000004,31.414736421725244,baseline
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,2,14.5234375,11.35,3.1734375000000004,27.959801762114544,baseline
