method,method_label,category,comparison_role,runs,wikitext2_ppl_mean,wikitext2_ppl_sample_std,wikitext2_ppl_min,wikitext2_ppl_max,best_search_fitness_mean,best_search_fitness_sample_std,stage1_runtime_minutes_mean,stage2_runtime_minutes_mean,total_pipeline_runtime_minutes_mean,total_pipeline_runtime_minutes_sample_std,estimated_compression_ratio_mean,average_bitwidth_active_mean,average_bitwidth_total_mean,accepted_parent_replacements_mean,offspring_no_ops_total,offspring_duplicates_total,offspring_infeasible_total
depth_uniform,Depth + uniform 3-bit q_proj,baseline,target-matched composition baseline,3,11.953333333333333,0.5858611894752317,11.35,12.52,,,9.577777777777778,1.4055555555555554,10.983333333333333,0.0333333333333341,1.400303557622533,3.0,11.426093944348155,,0,0,0
independent,Independent depth + searched q_proj quant,baseline,target-matched sequential composition baseline,3,11.946666666666667,0.5853488988059458,11.35,12.52,,,22.727777777777778,1.45,24.177777777777777,0.053575837561070955,1.400492714193363,2.9722222222222223,11.424550791157989,,0,0,0
joint_g20,Standard joint G20,baseline,same stage-two generation/offspring schedule,3,12.606770833333334,0.6749716670365382,12.15625,13.3828125,0.7351888020833334,0.05130981800103323,0.0,10.15,10.15,0.033333333333333215,1.400303557622533,3.0,11.426093944348155,18.666666666666668,0,0,0
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",sequential,new sequential variant,3,11.932291666666666,0.5860069403297058,11.3515625,12.5234375,0.67236328125,0.04829543414599962,9.577777777777778,9.222222222222221,18.8,0.22546248764114438,1.400303557622533,3.0,11.426093944348155,11.333333333333334,0,10,0
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),sequential,depth warm start with standard mutation,3,11.526041666666666,0.2232152157718719,11.3125,11.7578125,0.6417643229166666,0.032434275756609614,9.577777777777778,8.983333333333333,18.56111111111111,0.13977495139343496,1.400303557622533,3.0,11.426093944348155,9.333333333333334,0,7,0
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),reference,depth warm start with interaction-aware mutation at G50,3,11.171875,0.19578068884596356,10.984375,11.375,0.61181640625,0.017746857270885007,9.577777777777778,20.68888888888889,30.266666666666666,0.13333333333333286,1.400303557622533,3.0,11.426093944348155,7.666666666666667,0,0,0
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",sequential,new sequential variant,3,14.002604166666666,2.7482053507224644,11.03125,16.453125,0.84619140625,0.20502754677636317,13.15,8.63888888888889,21.78888888888889,0.058531409738070986,1.400303557622533,3.0,11.426093944348155,13.0,2,7,0
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),sequential,quantization warm start with standard mutation,3,12.572916666666666,0.43919407874205607,12.1796875,13.046875,0.74267578125,0.038201572254040334,13.15,9.005555555555555,22.155555555555555,0.09477067838462214,1.400303557622533,3.0,11.426093944348155,16.333333333333332,1,6,0
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),sequential,quantization warm start with interaction-aware mutation,3,11.846354166666666,0.5324740799638358,11.3359375,12.3984375,0.6666666666666666,0.06511250760371379,13.15,11.38888888888889,24.538888888888888,1.5123871246525522,1.400303557622533,3.0,11.426093944348155,14.333333333333334,0,0,0
joint_g50,Standard joint G50,reference,larger single-search compute reference,3,11.2421875,0.2852365041176357,10.921875,11.46875,0.61279296875,0.05276149476265664,0.0,22.583333333333332,22.583333333333332,0.10929064207170111,1.400303557622533,3.0,11.426093944348155,37.333333333333336,0,0,0
interaction_aware_g50,Interaction-aware joint G50,reference,non-matched operator reference,3,11.0859375,0.17399263633843817,10.8984375,11.2421875,0.6090494791666666,0.01691690774880491,0.0,21.18888888888889,21.18888888888889,0.33761143564974394,1.400303557622533,3.0,11.426093944348155,20.666666666666668,0,0,0
